Dist_MCA	Dist_MPA	Area_SAC_L
84578.26827	105987.9321	0.004503484
4898.127512	19294.26435	0
18568.09581	43468.24349	25.10115162
13287.10295	1925.495646	2.04536314
21101.51727	28268.13685	0
5946.65235	0	0
23329.59393	29567.50109	0
112125.009	71489.42785	20.49535065
78569.77657	34924.15411	14.89172914
8521.094089	0	2.993505489
35258.70573	59119.48232	0
80895.51474	62033.30005	3.877055382
6729.116646	7261.655646	3.715901342
701.9236663	32915.61545	0
11366.17981	50.32396967	1.399910141
57227.28143	81832.93567	0
18038.04377	28263.23762	0
125106.6838	21861.01332	0
34705.93798	0	8.803374342
7053.433684	13765.2139	0
67786.30465	78269.80505	0
4634.40291	28.8838266	0
6249.427298	6628.314093	7.510094067
77355.88653	47997.05155	0.16962627
332.2339104	20727.69091	0
26719.64588	37576.29515	3.799285706
0	0	0
13771.05279	26132.17183	0
29037.60462	0	0.094212635
95113.30983	120744.3884	0
12566.46528	11442.76748	0
0	19153.71987	0
59327.40183	65097.07948	0
34278.10506	32541.09738	0
55426.06415	28474.87565	1.404031943
73153.97908	102234.6799	0.680004089
136578.7944	9930.87209	0
17353.15618	16671.58802	5.237338286
46750.68723	19286.82028	77.02161437
27022.99335	0	1.528507725
3820.72891	4111.49391	7.790996049
56624.49395	67778.08839	0
5458.234367	5456.095347	1.739888049
8906.361252	21.01281223	0
46156.72989	288.5095763	0
37240.82193	33930.89155	12.63518642
134377.017	48542.19257	0.015870211
37867.63898	62168.93197	0.075307505
73382.83145	99808.52863	0
4194.343646	19451.36427	0
35312.47244	60397.2719	0.982262393
71422.921	82089.68706	0.051878118
122795.7352	0	0
81435.60653	51061.68635	0.267153982
21001.91865	11759.66519	0
3570.45809	32471.87193	0.609721
37369.76771	20785.77526	8.395302362
3389.446015	48046.91276	2.835041784
25336.91657	0	0
29305.25494	0	2.503870636
0	25377.84846	8.344450957
24171.20951	29574.04946	21.82458232
0	0	0
7055.623531	0	0
64558.12298	43187.60495	0.195633717
58983.80715	53794.54565	0.161511263
122457.92	4547.674923	5.937275564
39367.75404	30762.1399	0
9034.537602	4419.878133	30.61871393
66839.95658	67415.52201	0
15633.58449	16110.8178	6.304079389
0	26249.52435	3.536077288
20517.3663	14754.76173	0
120644.4174	9050.128968	0.65646365
18187.89175	1660.031636	0
0	11147.04703	0
0	25359.64616	0.001804068
6812.757445	2492.276399	0
6993.559941	7696.546035	0
10689.38365	11532.40565	32.47859556
28781.22559	57440.65864	0.414049552
19815.61424	25456.63113	14.33124197
6404.984918	17788.73681	49.46590027
89098.19133	116253.4053	0
8358.421745	18019.40165	7.509261838
17957.43211	9617.00216	0
76274.136	85013.63545	25.38984532
34621.09311	14953.39255	0
85217.97565	10175.24377	0.179180028
93567.71045	20528.76462	0
12275.50115	2179.571379	0
110326.2391	23920.18989	0
138045.1509	49930.87209	0.023916699
0	20173.5379	0
42781.1268	0	0
52221.88752	67189.19394	0
41820.81313	37722.47448	0
97581.14691	10.7916605	0
18329.60555	18461.87369	0
0	792.4819944	5.020335027
56729.11665	55352.16803	0.776914184
26969.52471	0	0
27813.33791	0	12.49689535
118806.1241	60582.40941	23.47540121
84742.50604	110966.7788	0
69381.17424	93887.47068	0.098779939
1209.876332	36342.02635	0
22410.96536	22958.02504	0
17289.28965	27877.07326	0
90126.70222	74604.45237	95.39739508
35344.65391	0	0.397262876
12163.53109	12647.78609	0
37983.53246	48019.40165	0
9317.017502	31534.31233	0
21043.96383	2571.43897	0.625797495
2763.718813	34157.611	31.54979316
0	14814.9857	0
38883.17811	37514.10046	0
49067.16377	59794.25907	42.02739516
55484.48548	64878.34604	2.377954325
38877.33567	0	1.142127776
90817.65618	89130.48457	0
0	34116.17848	0.728963599
25335.37451	33696.23589	5.733920403
40948.49491	54702.56398	0
54315.18804	6939.491653	61.80816736
125208.2117	60150.89008	11.56832231
1599.034325	6215.597065	0
97818.20644	108200.5338	2.675038898
91840.78629	22855.74031	0
75113.80019	78565.53455	0
50372.70386	44344.34616	0
92050.51644	48597.73973	4.346676417
89948.054	81061.26889	4.134736084
18618.63367	0	0
32655.97733	88.58108215	0
34329.51965	36626.96006	1.082100457
100778.1427	60658.34077	45.55629786
1531.770374	6001.297354	3.50185814
9867.224359	28754.00605	0
76975.37366	73857.08533	0
157442.409	18712.94467	0
1699.815698	0	0
83205.89419	30059.86349	0.854830308
2631.663269	0	5.421841796
81692.19068	0	0.098626698
0	0	0
40848.78443	20776.70432	51.98801191
76149.23043	79.51518818	1.856088048
95032.05659	81701.2941	0.600937084
0	7851.878921	36.54132108
6566.014279	9203.316002	10.22497878
295.2500896	0	0
7813.33791	4397.10609	0.724530631
1944.712636	1766.503835	0
85499.24006	42618.15377	0
4509.611471	4607.454437	5.271882589
1753.468646	2075.584646	0
120827.2941	33266.4138	1.823539814
163083.7072	0	0
70133.34549	68945.05276	0.161479886
68951.0626	64790.46871	0.63454796
9938.296505	24409.96176	5.100134568
13944.38173	6622.32009	0.599286075
0	21219.21234	0
107821.489	118185.2142	1.029890989
24309.61974	54504.86587	0.292683877
24003.71987	0	3.677354481
56303.36956	47957.50391	0
3249.922989	0	3.95076911
19953.6289	0	0
95646.68709	21279.04862	0
0	17102.35397	11.16865541
39198.6007	66586.07123	0.539480325
80800.11576	73825.28238	1.48042885
27911.68636	0	0.129610048
38565.04854	0	0
108878.2923	76062.31777	19.9177115
11686.44676	0	0
99.9660896	26350.23416	0.360012489
163536.2539	18184.55509	0
77886.57781	87423.74692	0.004247177
102350.6496	9661.99334	0
67840.21953	0	1.707459836
47356.69772	47996.00767	24.59413686
143818.4877	52.03297584	0
93119.79357	8936.92368	0
110689.3836	46829.95084	2.44729142
15953.05935	11803.52349	11.20214359
5640.002202	12740.69461	0
5248.385345	2066.662203	0
1080.257545	0	15.8465315
32337.57927	53713.28845	0
52993.15156	41071.7191	0.95188492
150376.1613	8933.407882	0.194749862
0	2.23585249	10.441821
91820.68931	71061.56886	1.965576364
11682.86702	8009.578903	0
6713.769523	9.866553596	0
4836.638111	9133.902472	41.75760555
40689.38365	41532.40565	0.646671863
38319.27172	33672.45069	0
