FID	Area_WHS	Area_SSSI	Area_SPA	Area_SAC	Area_RAMSA	Area_NR	Area_NNR	Area_MPAdi	Area_MCA	Area_LNR	Area_COUNE	Area_CNTRY	Area_BIOSP	Area_BIOGE	Count_WW	Count_Air	Count_Bus	Count_Hotel	Sum_Rating	Count_CarPark	Count_TourOp	Count_train	Mean_Wild	Dist_Motorway	Dist_A_road	Dist_B_road	Dist_min_road	Area_NP	Area_PA	Dist_road	Count_Inf	Dist_Coast	Mean_Nat	Dist_Air	Dist_Bus	Dist_CarPark	Dist_Hotel	Dist_TourOp	Dist_Train	Pop_dens	Pop	PDist	PDist.1	
1	0	0	0.002225111	0	0.004503484	0	0	0	0	0	0	0	0	0	0	9	0	13	3	4.7	0	0	0	67.44593125	0	2876.072835	0	0	0	0.004795014	0	16	28116.68194	131.7850313	67391.74317	0	15409.2767	0	16560.97161	14940.15403	9.898555908	989.8555908	93869.38483	93869.38483
2	1	0	0.862564138	17.5446457	0	0	0	0	0	0	0	0	0	0	0	18	0	10	7	4	0	0	0	93.76155485	0	0	5677.110872	0	0	17.69668044	0	17	0	196.9141754	15049.95445	0	38280.16589	0	8703.11346	66428.211	1.625735023	134.15382	6257.05327	6257.05327
3	2	0	36.6514008	24.57089507	25.10115162	24.59642009	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	107.3081875	0	0	714.024354	0	0	37.0225204	0	2	16318.78609	205.3938812	77413.18842	0	25656.76879	554.6002152	33397.80784	22726.08304	0.944687653	94.46876526	31780.19785	31780.19785
4	3	0	34.23585916	67.96999825	3.508131083	0	0	0	0	0	0	0	0	0	0	69	0	2	6	0	0	1	0	96.3033413	0	0	0	0	0	70.24692659	0	9	0	178.2557756	46597.48556	0	11478.50826	0	0	29574.64769	1.948756773	167.6933174	4807.317059	4807.317059
5	4	0	0.743122599	0	0	0	0	0	0	0	0	0	0	100	0	74	0	9	7	9.5	0	0	0	59.71888125	0	0	0	0	0	100	0	16	12409.95919	129.152225	39755.83816	0	3576.920711	0	4372.423966	3617.921051	8.529345474	852.9345474	91776.26501	91776.26501
6	5	0	0	0	43.86641418	0	0	0	40.51500755	0	0	0	0	0	0	15	0	16	5	0	0	0	0	105.8920846	0	2758.78609	441.975646	0	0	70.64512843	0	21	0	198.5496022	6777.210682	0	12654.99406	0	42957.87813	81892.40725	6.430821107	180.252346	0	0
7	6	0	0.954069537	48.25773228	0	0	0	0	0	0	0	0	0	17.48301591	0	2	0	1	0	0	0	0	0	121.2289062	0	870.8198497	26345.90876	0	0	58.19038347	0	1	23062.13934	204.0059687	51196.96021	0	12330.99474	1485.66611	20523.69036	1961.167462	2.58490984	258.490984	36150.6963	36150.6963
8	7	0	4.394818352	55.78244156	20.49535065	0	0	0	0	0	0	0	0	0	0	6	0	5	4	0	0	1	0	89.90915	0	0	0	0	100	100	0	10	48967.19388	208.2982062	58140.8087	0	100.1219697	0	0	30938.9198	1.959293747	195.9293747	63046.3395	63046.3395
9	8	0	31.99383886	34.69521285	39.32162628	34.54807889	0	0	0	0	0	0	0	0	0	13	0	28	26	21.3	0	1	2	48.43153858	0	0	0	0	0	42.47257221	0	57	0	121.0809666	24454.62121	0	520.5890455	0	0	0	36.49248183	2755.596329	3341.603483	3341.603483
10	9	0	29.56613938	30.52052985	66.66574403	0	0	0	55.57483976	0	0	0	0	0	0	34	0	0	0	0	0	0	0	104.3472687	0	2036.276272	0	0	0	96.10046085	0	0	0	181.7817802	36798.24622	2104.30926	6879.910384	1714.299601	7375.946347	39574.64769	1.019046383	33.61872482	0	0
11	10	0	3.959129417	3.177500435	0	3.180432246	0	0	0	0	0	0	1.026176833	0	0	122	0	30	7	4	0	0	0	43.95156875	0	0	0	0	0	5.006425851	0	37	6516.740145	98.96430625	22389.91208	0	1516.280961	0	9363.470294	1658.04518	152.3850946	15238.50946	43881.10887	43881.10887
12	11	0	3.330414828	0	3.877055382	0	0	0	0	0	0	0	0	0	0	14	0	12	3	0	0	0	0	82.52686875	0	0	0	0	0.170437062	4.370498673	0	15	11574.42177	195.0524813	15545.37879	0	12291.92412	0	10266.64975	5481.128134	4.903401031	490.3401031	19077.78253	19077.78253
13	12	0	14.58046476	5.506911716	3.715901342	0	0	17.46569993	0	0	0	0	0	0	0	25	0	4	10	21.3	0	0	1	102.1992	0	0	2434.21391	0	99.41134452	100	0	15	1548.213912	200.8970938	41496.34908	0	1611.831733	0	19569.46845	0	4.796729546	479.6729546	45055.83331	45055.83331
14	13	0	3.678089969	24.88638904	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	106.3832625	204.024354	1818.21391	5754.024354	204.024354	0	24.88638904	204.024354	0	0	169.6585106	61736.89546	1842.088504	25115.81	1328.537946	24421.88219	59838.12959	1.484113475	7.855551243	5390.485497	5390.485497
15	14	0	9.74503901	9.11129413	20.82882744	0	0	0	0.013673387	0	0	0	0	0	0	112	0	4	13	0	0	1	0	84.59270981	0	0	0	0	0	29.19412383	0	16	0	169.2069724	45860.73677	0	19400.28309	0	6.353816324	30312.38883	2.90361227	229.6351147	1294.760641	1294.760641
16	15	0	2.091598061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.82876902	251.1340882	261.5519224	7075.975646	251.1340882	0	2.091598061	251.1340882	0	44728.36178	163.6426003	84589.83638	233.7082481	17850.12381	3132.73953	29974.24115	31654.44253	0	0	53855.57828	53855.57828
17	16	0	0.013082333	0.013124439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	113.2211375	1642.68975	2064.373735	6072.024354	1642.68975	0	0.013124589	1642.68975	1	7498.975646	206.1261438	90602.20056	2769.071594	4245.064889	1075.954651	18010.92169	0	2.887732849	288.7732849	34983.414	34983.414
18	17	0	0.815670544	0.815670232	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	136.2342657	5628.892449	10383.6155	6665.78609	5628.892449	0	0.815670388	5628.892449	0	0	141.1795096	13789.89042	8032.067148	21627.35053	8063.322883	41600.56052	63315.21391	0	0	24247.79676	24247.79676
19	18	0	9.185167062	92.67241743	99.99993325	0	0	9.185168955	91.2136229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124.6789949	7726.179543	28347.43391	21092.46615	7726.179543	0	100	7726.179543	0	0	169.5833098	49107.60602	23154.05864	29893.81409	5039.774188	22955.28213	30181.94187	0	0	0	0
20	19	0	0	4.158462645	0	2.097291136	0	0	0	0	0	0	0	0	0	6	0	43	6	0	0	0	0	70.21872131	0	0	12380.56439	0	0	4.168007155	0	49	0	191.688804	16260.69735	0	15633.39554	0	20974.3702	117169.5918	1.034584471	40.23969269	17499.62036	17499.62036
21	20	0	0.796438848	0	0	0	0	0	0	0	0	0	0	12.22002229	0	30	0	93	46	37.9	2	0	0	44.65630057	0	0	0	0	0	12.76524272	0	146	0	99.96708108	71536.46192	0	0	0	0	15159.4138	49.43622168	4922.723068	141450.7321	141450.7321
22	21	0	18.9595682	0	54.26432509	0	0	0	52.93925485	0	0	0	0	0	0	9	0	1	3	0	0	0	0	90.4709304	0	10650.02435	0	0	0	73.22389328	0	4	0	168.2132799	50755.51328	0	18996.33731	0	6878.52587	14384.96545	1.423734481	63.44503117	0	0
23	22	0	7.561188444	71.92949047	7.510094067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.7554813	1981.396307	1981.396307	7166.21391	2390.940023	0	74.28405397	1981.396307	0	2012.216765	193.3693688	88571.89774	2785.083417	4200.74832	3191.389121	3928.241424	3875.60254	1.037374077	103.7374077	18968.32537	18968.32537
24	23	0	6.088243358	10.04880961	0.778946613	6.926480437	0	0	0	0	0	0	0	0	0	52	0	56	17	21.5	2	0	1	50.77670579	0	0	0	0	0	14.25902888	0	78	0	122.0724187	14504.09556	0	0	0	2406.45573	0	15.64735396	1084.125931	5569.409381	5569.409381
25	24	0	1.356776644	0	0	0	0	0	0	0	0	0	0	0	0	7	0	40	1	0	0	0	0	83.24947361	0	0	0	0	0	1.356776644	0	41	0	205.2516506	35978.13138	0	1063.922356	0	5116.486132	217983.0094	2.718175549	227.0723724	12144.31838	12144.31838
26	25	0	2.503715201	0.894274379	3.799285706	0.766421858	0.756997598	0	0	0	0	0	0	0	0	6	0	1	1	4	0	0	1	108.2323875	0	7630.332457	0	3847.024354	0	4.017934847	0	3	17498.97565	221.2570625	89880.80257	0	14241.02703	0	26424.73774	0	1.322136803	132.2136803	44011.65312	44011.65312
27	26	0	0.003735519	0	40.37318031	0	0	0	32.85540631	14.76667437	0	0	0	0	0	130	0	2	26	13.6	1	0	0	95.21882011	0	0	11224.96018	0	0	42.17051881	0	29	0	193.0069604	31653.81546	0	0	0	17462.92465	49687.91652	0.919649345	51.05813026	1304.304293	1304.304293
28	27	0	0.876886663	0	3.720146268	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	85.40782681	0	4696.96955	10662.97565	0	0	4.59703293	0	0	0	169.9472542	12473.97405	4758.97988	30452.66582	2309.911025	21547.023	64174.64803	0	0	3404.861251	3404.861251
29	28	0	1.084873592	1.032393068	2.777774964	0	0	0	33.67234056	0	0	0	0	100	0	25	0	35	21	8.5	0	0	0	90.22002375	0	0	4046.975646	0	0	100	0	54	0	187.764249	54683.38882	0	28112.94058	0	12841.56068	34547.06461	0.951106598	61.32745934	4765.208717	4765.208717
30	29	0	0.016935718	0	0	0	0	0	0	0	0	0	0	0	0	23	0	11	2	0	0	0	0	64.2036375	0	120.024354	0	0	0	0.016935718	0	13	9564.21391	147.1735625	88089.10904	0	135.3138342	0	13660.87154	8634.294407	6.54689209	654.689209	97439.77688	97439.77688
31	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	90.802589	0	10314.56637	5354.326019	0	0	0	0	0	0	202.0887881	58384.49592	2623.026191	25897.96995	2720.70301	16064.67407	245883.906	0	0	9025.768557	9025.768557
32	31	0	4.604138747	0	0	0	0	0	0	0.248049742	0	0	0	0	0	19	0	28	14	4.6	0	0	0	94.16160103	0	0	9161.831864	0	0	4.852188489	0	43	0	204.5361138	35271.6412	0	17987.25555	0	10145.84761	90319.94061	1.964292777	131.0575581	9703.330198	9703.330198
33	32	0	0	0	0	0	0	0	0	0	0	0	0	100	0	1	0	4	1	0	0	0	0	63.34113125	0	0	1039.142894	0	0	100	0	5	17034.50968	144.0698813	49403.6601	0	13877.44019	0	8064.368631	21433.11953	3.01101368	301.101368	121270.9742	121270.9742
