FID	Records	Species
0	0	0
1	84	73
2	0	0
3	200	110
4	14	10
5	33	33
6	0	0
7	78	36
8	49	36
9	151	72
10	36	32
11	120	57
12	96	44
13	4786	254
14	534	172
15	0	0
16	5	3
17	2	2
18	0	0
19	43	43
20	29	24
21	1	1
22	1	1
23	213	106
24	44	35
25	1	1
26	569	164
27	0	0
28	262	145
29	0	0
30	0	0
31	0	0
32	150	54
33	32	25
34	0	0
35	1	1
36	3	3
37	0	0
38	0	0
39	168	102
40	0	0
41	2218	114
42	20	16
43	36	31
44	18	16
45	137	87
46	373	55
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	31	28
53	407	86
54	158	75
55	31	19
56	0	0
57	7	5
58	42	42
59	231	102
60	1249	208
61	0	0
62	478	164
63	0	0
64	329	123
65	1522	188
66	281	137
67	732	189
68	12	10
69	18	15
70	11	10
71	17	17
72	32731	401
73	0	0
74	0	0
75	493	162
76	0	0
77	0	0
78	329	122
79	1	1
80	2	1
81	18	13
82	124	65
83	8	7
84	9	8
85	0	0
86	5	5
87	1831	263
88	258	109
89	0	0
90	0	0
91	305	111
92	15	14
93	4	3
94	0	0
95	143	63
96	471	155
97	118	89
98	170	73
99	366	154
100	15	11
101	92	59
102	28	26
103	22	13
104	0	0
105	3	3
106	35	30
107	0	0
108	64	37
109	139	57
110	323	142
111	0	0
112	56	22
113	2339	285
114	0	0
115	5	4
116	234	131
117	448	145
118	6	6
119	3	3
120	0	0
121	5	5
122	212	136
123	0	0
124	0	0
125	0	0
126	5	2
127	348	100
128	8	7
129	0	0
130	212	46
131	55	40
132	80	59
133	54	27
134	14	7
135	0	0
136	1	1
137	706	117
138	146	100
139	0	0
140	227	57
141	64	27
142	358	82
143	56	43
144	291	97
145	0	0
146	51	49
147	34	23
148	39	38
149	1	1
150	5	5
151	5	5
152	58	54
153	19	17
154	5	5
155	424	154
156	0	0
157	48	35
158	18	17
159	74	56
160	229	100
161	38	29
162	65	53
163	0	0
164	4	4
165	52	40
166	0	0
167	0	0
168	108	57
169	0	0
170	136	120
171	7	2
172	104	93
173	17	17
174	15	12
175	0	0
176	5	3
177	0	0
178	0	0
179	48	42
180	975	85
181	22	18
182	360	86
183	3	3
184	0	0
185	0	0
186	519	187
187	92	57
188	111	61
189	193	109
190	490	139
191	122	49
192	0	0
193	197	101
194	62	56
195	43	35
196	1	1
197	4	4
198	8	6
199	127	62
200	3	2
201	528	56
202	10	10
203	39	37
204	418	166
205	30	29
206	0	0
207	11883	99
208	56	55
209	0	0
210	106	86
211	2499	235
212	162	3
213	13	12
214	110	39
215	77	49
216	0	0
217	2	1
218	97	75
219	47	37
220	10	6
221	0	0
222	0	0
223	2	2
224	0	0
225	0	0
226	0	0
227	208	102
228	0	0
229	1751	93
230	6	6
231	0	0
232	94	33
233	211	84
234	6	6
235	58	49
236	98	75
237	297	69
238	34	21
239	0	0
240	0	0
241	0	0
242	0	0
243	5	4
244	51	51
245	52	50
246	396	132
247	24	22
248	0	0
249	0	0
250	8	7
251	26	22
252	153	60
253	99	98
254	8	8
255	552	100
256	0	0
257	83	58
258	0	0
259	8	4
260	1	1
261	4	3
262	5861	336
263	118	72
264	0	0
265	5	5
266	0	0
267	995	136
268	78	53
269	4	4
